epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,131.481,0.83125,0.74525,0.92241,0.6843,0.52166,0.66963,0.56509,0.80787,0.6937,0.91008,0.00992773,0.00992773,0.00992773
75,133.027,0.8324,0.76428,0.93306,0.62765,0.58217,0.66191,0.56008,0.77875,0.67763,0.90232,0.00992674,0.00992674,0.00992674
76,134.657,0.8178,0.75018,0.93505,0.70421,0.56407,0.69113,0.59077,0.78479,0.64421,0.9181,0.00992575,0.00992575,0.00992575
77,136.159,0.83364,0.71053,0.94209,0.49091,0.74239,0.68469,0.58138,0.78695,0.62426,0.90345,0.00992476,0.00992476,0.00992476
78,137.783,0.83026,0.71174,0.9356,0.56618,0.63209,0.67999,0.56092,0.80567,0.64695,0.92127,0.00992377,0.00992377,0.00992377
79,139.345,0.84452,0.76692,0.91697,0.5626,0.64129,0.69227,0.57564,0.77002,0.63399,0.90762,0.00992278,0.00992278,0.00992278
80,140.995,0.83389,0.74588,0.94116,0.57769,0.65971,0.67291,0.56503,0.80867,0.6331,0.90945,0.00992179,0.00992179,0.00992179
81,142.582,0.83098,0.747,0.91134,0.58964,0.65709,0.68813,0.57161,0.80343,0.62273,0.91051,0.0099208,0.0099208,0.0099208
82,144.123,0.86023,0.73589,0.92311,0.54866,0.70356,0.69025,0.56831,0.82971,0.62864,0.91281,0.00991981,0.00991981,0.00991981
83,145.68,0.85619,0.72637,0.92338,0.61132,0.63443,0.68815,0.58843,0.75708,0.6163,0.90042,0.00991882,0.00991882,0.00991882
84,147.27,0.84118,0.7363,0.9376,0.68219,0.58118,0.69194,0.57326,0.83621,0.63151,0.93487,0.00991783,0.00991783,0.00991783
85,148.79,0.83371,0.72554,0.92125,0.62353,0.62412,0.68365,0.56666,0.84878,0.64465,0.91821,0.00991684,0.00991684,0.00991684
86,150.363,0.86092,0.72871,0.92766,0.50584,0.77157,0.68627,0.59128,0.71284,0.61433,0.88971,0.00991585,0.00991585,0.00991585
87,151.974,0.82715,0.72706,0.92462,0.6281,0.65533,0.68309,0.56743,0.82612,0.6778,0.9114,0.00991486,0.00991486,0.00991486
88,153.541,0.79012,0.69238,0.91632,0.64063,0.6697,0.69317,0.58276,0.81739,0.61345,0.90771,0.00991387,0.00991387,0.00991387
89,155.144,0.80974,0.72101,0.90494,0.53207,0.77321,0.70217,0.60264,0.71993,0.58877,0.88874,0.00991288,0.00991288,0.00991288
90,156.771,0.81753,0.72599,0.92049,0.6702,0.58381,0.6944,0.59278,0.7723,0.61734,0.90444,0.00991189,0.00991189,0.00991189
91,158.362,0.84589,0.72462,0.90872,0.61775,0.68543,0.72174,0.60677,0.77953,0.58917,0.90773,0.0099109,0.0099109,0.0099109
92,159.856,0.80822,0.67062,0.93731,0.59605,0.72853,0.72271,0.62227,0.76955,0.57942,0.90923,0.00990991,0.00990991,0.00990991
93,161.461,0.82113,0.71074,0.92248,0.64509,0.63732,0.7252,0.61654,0.76093,0.5737,0.90118,0.00990892,0.00990892,0.00990892
94,163.076,0.84071,0.66903,0.93439,0.64147,0.62679,0.70837,0.60649,0.74667,0.55653,0.88716,0.00990793,0.00990793,0.00990793
95,164.688,0.8258,0.67189,0.91012,0.52437,0.75207,0.70492,0.60269,0.76477,0.5821,0.89507,0.00990694,0.00990694,0.00990694
96,166.286,0.84878,0.68591,0.91746,0.59267,0.67353,0.70889,0.60638,0.74079,0.55276,0.88603,0.00990595,0.00990595,0.00990595
97,167.789,0.80319,0.68519,0.91994,0.63098,0.62112,0.72404,0.63178,0.73229,0.55435,0.88567,0.00990496,0.00990496,0.00990496
98,169.364,0.83494,0.6798,0.91675,0.66762,0.60813,0.73168,0.62306,0.76393,0.57342,0.90376,0.00990397,0.00990397,0.00990397
99,171.108,0.78746,0.66451,0.92503,0.61058,0.68338,0.72146,0.63319,0.72563,0.5678,0.88009,0.00990298,0.00990298,0.00990298
100,172.716,0.80789,0.6864,0.92445,0.56826,0.73763,0.73058,0.63952,0.73565,0.59286,0.88472,0.00990199,0.00990199,0.00990199
101,174.28,0.80552,0.68075,0.90082,0.61083,0.73782,0.73258,0.63273,0.73634,0.57748,0.88612,0.009901,0.009901,0.009901
102,175.801,0.82008,0.67362,0.90754,0.64048,0.71058,0.75614,0.64705,0.76892,0.56995,0.89278,0.00990001,0.00990001,0.00990001
103,177.392,0.82575,0.68131,0.92274,0.52528,0.80048,0.7658,0.65134,0.75232,0.55523,0.89269,0.00989902,0.00989902,0.00989902
104,178.929,0.82104,0.68299,0.92051,0.66821,0.68176,0.76723,0.6526,0.71871,0.55776,0.8838,0.00989803,0.00989803,0.00989803
105,180.414,0.80924,0.70292,0.91108,0.64755,0.67983,0.76456,0.65394,0.7487,0.57575,0.88728,0.00989704,0.00989704,0.00989704
106,182.002,0.79855,0.68634,0.90733,0.59431,0.75449,0.74809,0.63783,0.72668,0.57108,0.88739,0.00989605,0.00989605,0.00989605
107,183.525,0.79933,0.67478,0.91993,0.61454,0.74903,0.75983,0.65217,0.70991,0.56423,0.88229,0.00989506,0.00989506,0.00989506
108,185.143,0.77804,0.67737,0.91281,0.55027,0.76602,0.75061,0.64717,0.69893,0.5741,0.87745,0.00989407,0.00989407,0.00989407
109,186.797,0.80089,0.69442,0.91238,0.60924,0.7692,0.76708,0.65833,0.70518,0.58133,0.8823,0.00989308,0.00989308,0.00989308
110,188.263,0.78381,0.67538,0.92064,0.59943,0.76643,0.76841,0.66671,0.71622,0.55413,0.87681,0.00989209,0.00989209,0.00989209
111,189.761,0.77767,0.66479,0.90167,0.68518,0.6536,0.75483,0.64683,0.72139,0.54641,0.8829,0.0098911,0.0098911,0.0098911
112,191.295,0.78202,0.67735,0.90052,0.63383,0.7025,0.74316,0.63989,0.7368,0.58034,0.88756,0.00989011,0.00989011,0.00989011
113,192.868,0.75775,0.65821,0.91202,0.62295,0.70625,0.74591,0.64366,0.70784,0.562,0.88419,0.00988912,0.00988912,0.00988912
114,194.415,0.75137,0.66101,0.89361,0.61252,0.73181,0.7358,0.63544,0.7275,0.57776,0.89453,0.00988813,0.00988813,0.00988813
115,195.975,0.78131,0.66689,0.92711,0.62842,0.68152,0.74313,0.63461,0.73786,0.5525,0.90099,0.00988714,0.00988714,0.00988714
116,197.521,0.74376,0.64144,0.91543,0.67491,0.69001,0.76573,0.65807,0.68031,0.52101,0.87661,0.00988615,0.00988615,0.00988615
117,199.023,0.7439,0.63702,0.91606,0.55202,0.7409,0.72455,0.62203,0.74664,0.55404,0.90395,0.00988516,0.00988516,0.00988516
118,200.609,0.77807,0.65266,0.8995,0.62109,0.70997,0.72728,0.63137,0.75661,0.55128,0.89429,0.00988417,0.00988417,0.00988417
119,202.253,0.75801,0.6293,0.92197,0.57799,0.72783,0.70488,0.60155,0.72077,0.54641,0.88614,0.00988318,0.00988318,0.00988318
120,203.779,0.7668,0.63609,0.90991,0.59745,0.71706,0.73877,0.64314,0.70708,0.52912,0.88294,0.00988219,0.00988219,0.00988219
121,205.341,0.79624,0.63661,0.90711,0.65781,0.71726,0.76479,0.67569,0.67242,0.52425,0.87448,0.0098812,0.0098812,0.0098812
122,206.922,0.73858,0.62554,0.90022,0.6071,0.73234,0.74774,0.65091,0.71302,0.54513,0.88432,0.00988021,0.00988021,0.00988021
123,208.518,0.78083,0.67147,0.90242,0.63423,0.71501,0.75767,0.66336,0.70343,0.53602,0.87534,0.00987922,0.00987922,0.00987922
124,210.111,0.78284,0.64285,0.89967,0.61379,0.77681,0.75256,0.66521,0.68569,0.52045,0.87613,0.00987823,0.00987823,0.00987823
125,211.618,0.7744,0.65165,0.90008,0.63883,0.75633,0.75057,0.65518,0.67917,0.51601,0.87212,0.00987724,0.00987724,0.00987724
126,213.13,0.77825,0.63457,0.91777,0.62983,0.71438,0.76096,0.65683,0.69706,0.51703,0.87958,0.00987625,0.00987625,0.00987625
127,214.708,0.7569,0.63703,0.91927,0.61307,0.77784,0.77993,0.68095,0.68109,0.52348,0.87,0.00987526,0.00987526,0.00987526
128,216.397,0.75561,0.61767,0.90851,0.59774,0.77244,0.79862,0.69326,0.71436,0.52465,0.88873,0.00987427,0.00987427,0.00987427
129,217.963,0.76914,0.61646,0.91043,0.64142,0.75365,0.81612,0.71038,0.69336,0.51067,0.87297,0.00987328,0.00987328,0.00987328
130,219.523,0.74157,0.62635,0.89762,0.67611,0.71773,0.7943,0.68005,0.71646,0.5144,0.88389,0.00987229,0.00987229,0.00987229
131,221.08,0.7576,0.60948,0.88283,0.69907,0.71034,0.803,0.70007,0.69592,0.52525,0.87211,0.0098713,0.0098713,0.0098713
132,222.724,0.77471,0.61755,0.89211,0.64817,0.71988,0.80259,0.69828,0.69022,0.51461,0.87281,0.00987031,0.00987031,0.00987031
133,224.293,0.77239,0.6289,0.90152,0.62948,0.71063,0.81085,0.71357,0.69488,0.49995,0.86986,0.00986932,0.00986932,0.00986932
134,225.874,0.77511,0.62462,0.9018,0.66252,0.73303,0.81453,0.71988,0.67403,0.5073,0.86528,0.00986833,0.00986833,0.00986833
